"filename", "language", "JavaScript JSX", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\main.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\models\Bird.jsx", "JavaScript JSX", 33, 0, 0, 0, 2, 11, 46
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\models\Dalaran.jsx", "JavaScript JSX", 857, 0, 0, 0, 20, 31, 908
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\models\Dragon.jsx", "JavaScript JSX", 33, 0, 0, 0, 2, 11, 46
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\models\Fox.jsx", "JavaScript JSX", 52, 0, 0, 0, 7, 8, 67
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\models\Island.jsx", "JavaScript JSX", 129, 0, 0, 0, 12, 29, 170
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\models\Plane.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 5, 26
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\models\Sky.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 6, 25
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\pages\About.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 3, 12
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\pages\Contact.jsx", "JavaScript JSX", 141, 0, 0, 0, 0, 15, 156
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\pages\Home.jsx", "JavaScript JSX", 78, 0, 0, 0, 8, 14, 100
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\pages\Projects.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 3, 8
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\pages\index.js", "JavaScript", 0, 5, 0, 0, 0, 2, 7
"Total", "-", 1519, 85, 212, 147, 64, 224, 2251
